frame,baseX,baseY,headX,headY,handX,handY
876,1120,518,1132,326,1000,458
880,1082,552,1090,376,1054,528
890,1106,514,1098,296,1054,528
893,1101.753,508.874,1143.264,322.784,1166,512
895,1098.625,508.25,1168,340,1146,548
900,1106,514,1134,304,1054,528
901,1258,634,1334,286,1160,608
902,1268.715201396683,636.5420127197905,1312,290,1166.5573862077565,605.6921710936525
907,1252.919481855593,591.8600133277216,1190,300,1150.5901166760193,553.1821523101385
910,1248,568,1214,294,1144,526
912,1276,574,1246,286,1160.56,534.24
913,1258,596,1244,376,1184,612
916,1274,590,1254,382,1152,658
917,1265.517857142857,587.5357142857143,1248.0892857142858,389.5267857142857,1192,684
920,1236,578,1228,406,1202,568
923,1210,560,1202,384,1128,538
924,1350,534,1328,294,1258,474
927,1356.5459111201299,528.1509486607143,1325.2189021915585,276.9513240665584,1118,456
930,1332,526,1296,280,1078,444
935,1313.7075892857142,507.6908482142857,1281.8370535714287,277.95200892857144,1124,402
938,1300,500,1284,282,1041.928,469.384
940,1280,516,1328,304,1048,476
941,1208,532,1218,320,978,452
947,1274,558,1268.8046783625732,372.95360623781676,1095.2974658869396,496.8732943469786
950,1246,556,1302,390,1156,496
952,1294,592,1315.7032146938136,390.4356211412962,1187.143527104644,452.8338803158025
960,1332,568,1356,386,1288,296
973,1389.6370000000002,597.94075,1337.8060277777777,421.1180555555556,1268,682
974,1390.1905906362547,597.739987394958,1346.1337949179672,414.05289115646264,1304,628
975,1322,580,1324,390,1310.7602513227514,548.5059523809524
976,1328.987670332133,581.4144013445379,1335.3243952087503,384.39435827664397,1372,464
979,1382.3547209580975,594.1367574069628,1352,394,1340,224
980,1382,596,1384,378,1306,208
981,1438,602,1420,390,1262,224
982,1490.7333333333333,611.6083333333333,1466.7916666666667,392.5,1214,252
984,1550,612,1528,374,1308,466
985,1590,634,1564,398,1376,550
986,1618,632,1586,382,1420,694
987,1160,582,1220,402,1270,552
988,1160,570,1216,400,1239.0555555555557,538.3703703703703
990,1170,586,1226,438,1228,556
995,1174,566,1252,436,1224,528
1000,1186,574,1268,406,1226,478
1005,1168.4166666666667,612.7083333333334,1278.4583333333333,492.6666666666667,1224,770
1010,1170,636,1292,552,1208,786
1011,1185.9573333333333,624.1786666666667,1300.7386666666666,535.6373333333333,1196,768
1015,1280,548,1344,412,1074,526
1020,1334,544,1346,342,1282,182
1025,1374,516,1398,342,1550,292
1027,1370,532,1402,358,1640,372
1029,1408,556,1456,386,1667.7777777777778,489.94074074074075
1030,1420,580,1486,394,1610,544
1031,796,714,798,616,816,680
1032,788,740,810,632,810,722
1035,816,744,858,646,788,744
1040,878,742,906,650,848,728
1045,912.2916666666666,718,935.25,626.75,898,618
1048,928.8729374358974,702.9700923076923,949.1408123076923,611.6386584615385,934,548
1049,933.801331042735,698.6566317948718,952.6009597948718,607.1339956923077,954,544
1050,938,696,954,604,966,542
1058,965.6951111111111,692.1066666666667,945.4186666666667,593.552,1044,612
1060,972,694,950,598,1068,668
1065,985.375,714.625,1016.25,656.25,1044,770
1070,1002,732,1082,720,1042,824
1080,1062,704,1074,758,1068,830
1090,1126,708,1064,724,1054,824
1095,1147,716,1059.75,709.5,1044,800
1100,1156,724,1062,690,1138,704
1105,1144,722,1080,654,1194,690
1107,1135.9640000000002,724.4359999999999,1089.212,637.1586666666666,1184,670
1110,1124,728,1104,616,1204,678
